Pakistani University,UK University
"Lahore School of Economics, Lahore",BCU
"Lahore University of Management Sciences (LUMS), Lahore",BCU
"Liaquat University of Medical and Health Sciences, Jamshoro",BCU
"Mehran University of Engineering and Technology, Jamshoro",BCU
"National College of Arts, Lahore",UH
"National College of Arts, Lahore",BCU
"National University of Computer and Emerging Sciences (FAST), Islamabad31) National University of Sciences and Technology (NUST)",BCU
"NED University of Engineering and Technology, Karachi",UH
"NED University of Engineering and Technology, Karachi",BCU
"Pakistan Institute of Development Economics (PIDE), Islamabad",BCU
"Pakistan Institute of Engineering and Applied Sciences (PIEAS), Islamabad",BCU
"Pir Mehr Ali Shah Arid Agriculture University, Rawalpindi",BCU
"Quaid-i-Azam University, Islamabad",BCU
Riphah International University,BCU
"Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST), Karachi",BCU
Greenwich University Karachi,BCU
Roots IVY International College accredited by University of London (external),BCU
"The GIFT University, Gujranwala",BCU
The University of Agriculture Peshawar,BCU
"The University of Faisalabad, Faisalabad",BCU
"University of Agriculture, Faisalabad",BCU
"University of Azad Jammu & Kashmir, Muzaffarabad",BCU
"University of Engineering & Technology, UET all campuses",BCU
"University of Health Sciences, Lahore",UH
"University of Health Sciences, Lahore",BCU
"University of Karachi, Karachi",BCU
"University of Malakand, Chakdara, Dir, Malakand",BCU
"University of Peshawar, Peshawar",BCU
"University of Sargodha, Sarghoda",BCU
"University of Science and Technology, Bannu",BCU
Mirpur University of Science & Technology (MUST),BCU
"University of the Punjab, Lahore",BCU
"University of Veterinary and Animal Sciences, Lahore",BCU
"Zia-ud-Din University, Karachi",BCU
University of Central Punjab (UCP),Bolton
University of Central Punjab (UCP),BCU
University of Management and Technology (UMT),BCU
University of Lahore (UOL),Bolton
University of Lahore (UOL),BCU
Lahore Garrison University,BCU
Kinnaird College for Women University,BCU
NUML (National University of modern Languages),BCU
Hazara University,BCU
Allama Iqbal Medical College,BCU
University College of Medicine and Dentistry,BCU
Lahore Medical and Dental College,BCU
Islam Medical College,BCU
Ameer ud din Medical College,BCU
Islamabad Medical and Dental College,BCU
Nawaz Sharif Medical College,BCU
Shalamar Medical and Dental College,BCU
FMH College of Medicine and Dentistry,BCU
Avicenna Medical College,BCU
Multan Medical and Dental College,BCU
Islamic International Dental; College and Hospital,BCU
Rashid Latif Medica College,BCU
Sheikh Khalifa Bin Zayed AL-NAHYAN Medical and,BCU
Dental College,BCU
Bacha Khan Medical College,BCU
Jinnah Medical and Dental College,BCU
United Medical and Dental College,BCU
Pak Red Cresent Medical and Dental College,BCU
KING EDWARD Medical College,BCU
"Khyber Medical University, Peshawar",BCU
"Quaid-e-Azam University, Islamabad",UH
"National University of Sciences and Technology (NUST), Islamabad",UH
"National University of Technology (NUTECH), Islamabad",UH
Bahria University,UH
The AIR University,UH
"Institute of Space Technology (IST), Islamabad",UH
"International Islamic University, Islamabad (IIUI)",UH
"Pakistan Institute of Engineering and Applied Sciences, Islamabad",UH
"Capital University of Science & Technology, Islamabad",UH
"Foundation University, Islamabad",UH
The University of Engineering & Technology,UH
The University of Lahore,UH
"Beaconhouse National University, Lahore",UH
"Forman Christian College University, (FCCU) Lahore",UH
"Kinnaird College for Women, Lahore",UH
"University of Management and Technology, Lahore",UH
"University of Central Punjab, Lahore",UH
"Information Technology University of Punjab, Lahore",UH
"Pakistan Institute of Fashion Design (PIFD), Lahore",UH
"The Institute of Business Administration (IBA), Karachi",UH
Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology (SZABIST),UH
"Muhammad Ali Jinnah University, Karachi",UH
Karachi Institute of Economics and Technology,UH
"Karachi Institute of Technology and Entrepreneurship (KITE), Karachi",UH
"DHA Suffa University, Karachi",UH
Ghulam Ishaq Khan Institue of Sciences and Technology (GIKI),UH
Riphah International University (Islamabad & Lahore Campus),Bolton
International Islamic University (Islamabad),Bolton
Quaid E Azam University Islamabad,Bolton
IQRA University (Islamabad & Lahore),Bolton
Bahria University (Islamabad & Lahore),Bolton
AIR University (Islamabad),Bolton
"COMSATS University (Islamabad, Lahore, Wah & Abbottabad)",Bolton
National University of Modern Languages – (Islamabad & Lahore),Bolton
"Fatima Jinnah Women University, Rawalpindi",Bolton
University of Punjab Beacon House National University (BNU),Bolton
University of South Asia Lahore (USA),Bolton
National College of Arts Lahore (NCA),Bolton
Government College Lahore (GC Lahore),Bolton
"University of Engineering and Technology, (Lahore, Taxila, Peshawar)",Bolton
University of Veterinary and Animal Sciences Lahore UVAS,Bolton
University of Agriculture Faisalabad – UAF,Bolton
University of Gujrat,BPP
University of Gujrat,Bolton
National Textile University NTU - Faisalabad,Bolton
SZABIST (Shaheed Zulfiqar Ali Bhutto Institute of Science & Technology),Bolton
Agha Khan University Karachi (AKU),Bolton
Nadirshaw Edulji Dinshaw University of Engineering and Technology Karachi,Bolton
(NED Karachi),Bolton
Mirpur University of Science & Technology,Bolton
Bahauddin Zakariya University,BPP
Government College University,BPP
University of Agriculture Faisalabad,BPP
